ingredient,total_interactions,products_count,top_interaction_types
zidovudine,579,3,"metabolism, serum concentration, risk or severity of adverse effects"
norepinephrine,564,3,"vasoconstricting activities, risk or severity of adverse effects, hypertensive activities"
pethidine,562,1,"risk or severity of adverse effects, metabolism, serum concentration"
caspofungin,560,5,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
brigatinib,556,4,"serum concentration, metabolism"
domperidone,552,2,"QTc-prolonging activities, serum concentration, metabolism"
pentoxifylline,550,2,"hypotensive activities, antiplatelet activities, anticoagulant activities"
timolol,549,1,"hypotensive activities, antihypertensive activities, metabolism"
sotalol,537,1,"risk or severity of adverse effects, QTc-prolonging activities, antihypertensive activities"
ruxolitinib,536,4,"serum concentration, bradycardic activities, metabolism"
procaine,533,1,"risk or severity of adverse effects, hypotensive activities, hypertensive activities"
thalidomide,533,1,"central nervous system depressant (CNS depressant) activities, risk or severity of adverse effects, metabolism"
oxaliplatin,531,9,"metabolism, serum concentration, cardiotoxic activities"
carteolol,524,1,"hypotensive activities, antihypertensive activities, risk or severity of adverse effects"
isosorbide dinitrate,520,2,"risk or severity of adverse effects, metabolism, serum concentration"
axitinib,512,4,"metabolism, serum concentration, cardiotoxic activities"
cinnarizine,506,2,"metabolism, therapeutic efficacy, risk or severity of hypotension"
calcium carbonate,504,2,"absorption, therapeutic efficacy, bioavailability"
desonide,502,2,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
clobetasone,502,2,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
midostaurin,496,1,"metabolism, serum concentration, cardiotoxic activities"
sirolimus,492,2,"serum concentration, therapeutic efficacy, metabolism"
ulipristal,489,3,"serum concentration, therapeutic efficacy, metabolism"
estriol,486,3,"serum concentration, thrombogenic activities, anticoagulant activities"
letrozole,485,5,"metabolism, serum concentration, cardiotoxic activities"
pimecrolimus,481,1,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
venetoclax,480,5,"metabolism, serum concentration, cardiotoxic activities"
buspirone,477,1,"risk or severity of adverse effects, metabolism, serum concentration"
neostigmine,471,3,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
flunarizine,469,1,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
sumatriptan,462,3,"risk or severity of adverse effects, serum concentration, serotonergic activities"
oxybutynin,460,2,"risk or severity of adverse effects, serum concentration, metabolism"
loratadine,460,1,"risk or severity of adverse effects, metabolism, serum concentration"
bimatoprost,458,2,"hypotensive activities, therapeutic efficacy, antihypertensive activities"
travoprost,458,2,"hypotensive activities, therapeutic efficacy, antihypertensive activities"
potassium citrate,458,2,"anticoagulant activities, risk or severity of adverse effects, therapeutic efficacy"
ritonavir,450,1,"metabolism, serum concentration, QTc-prolonging activities"
lacidipine,450,1,"hypotensive activities, serum concentration, therapeutic efficacy"
etravirine,446,1,"metabolism, serum concentration, serum concentration of active metabolites"
alprostadil,441,3,"therapeutic efficacy, anticoagulant activities, risk or severity of adverse effects"
fluphenazine,440,1,"risk or severity of adverse effects, metabolism, serum concentration"
rilpivirine,436,1,"serum concentration, QTc-prolonging activities, risk or severity of adverse effects"
pasireotide,432,3,"QTc-prolonging activities, bradycardic activities, therapeutic efficacy"
esmolol,426,1,"risk or severity of adverse effects, antihypertensive activities, orthostatic hypotensive activities"
chlorzoxazone,412,1,"risk or severity of adverse effects, metabolism, serum concentration"
dapsone,408,2,"metabolism, risk or severity of adverse effects, serum concentration"
tioconazole,408,4,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
prasugrel,408,2,"metabolism, anticoagulant activities, serum concentration"
ketamine,407,1,"risk or severity of adverse effects, metabolism, serum concentration"
mefenamic acid,406,1,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
diflunisal,405,1,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
potassium chloride,402,6,"ulcerogenic activities, hyperkalemic activities, risk or severity of hyperkalemia"
zopiclone,396,1,"risk or severity of adverse effects, serum concentration, metabolism"
benazepril,394,1,"risk or severity of adverse effects, hypotensive activities, serum concentration"
diphenoxylate,393,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, analgesic activities"
idarubicin,393,3,"metabolism, serum concentration, risk or severity of adverse effects"
chlorphenamine,392,1,"risk or severity of adverse effects, metabolism, serum concentration"
carboplatin,390,10,"ototoxic activities, serum concentration, cardiotoxic activities"
goserelin,388,2,"QTc-prolonging activities, therapeutic efficacy, cardiotoxic activities"
ivabradine,388,2,"serum concentration, QTc-prolonging activities, bradycardic activities"
capsaicin,384,2,"risk or severity of adverse effects, serum concentration, thrombogenic activities"
vinorelbine,382,2,"metabolism, serum concentration, risk or severity of adverse effects"
cabozantinib,381,3,"metabolism, serum concentration, cardiotoxic activities"
saxagliptin,374,1,"serum concentration, hypoglycemic activities, therapeutic efficacy"
dienogest,374,2,"serum concentration, therapeutic efficacy, metabolism"
arsenic trioxide,374,1,"risk or severity of adverse effects, QTc-prolonging activities, risk or severity of QTc prolongation"
dipyridamole,373,1,"risk or severity of adverse effects, hypotensive activities, anticoagulant activities"
danazol,366,3,"fluid retaining activities, therapeutic efficacy, risk or severity of adverse effects"
gemfibrozil,362,1,"metabolism, serum concentration, risk or severity of adverse effects"
sulfasalazine,357,1,"risk or severity of adverse effects, antihypertensive activities, therapeutic efficacy"
papaverine,356,2,"risk or severity of adverse effects, hypotensive activities, QTc-prolonging activities"
micafungin,355,5,"therapeutic efficacy, serum concentration, metabolism"
isoconazole,355,5,"therapeutic efficacy, serum concentration, metabolism"
dopamine,352,2,"metabolism, risk or severity of adverse effects, serum concentration"
isoprenaline,348,2,"risk or severity of adverse effects, vasoconstricting activities, hypokalemic activities"
dobutamine,348,2,"risk or severity of adverse effects, vasoconstricting activities, hypokalemic activities"
amantadine,348,3,"QTc-prolonging activities, therapeutic efficacy, serum concentration"
norethisterone,348,2,"therapeutic efficacy, serum concentration, metabolism"
levosimendan,346,2,"risk or severity of adverse effects, hypotensive activities, orthostatic hypotensive activities"
butenafine,345,5,"therapeutic efficacy, serum concentration, metabolism"
amphotericin b,343,1,"risk or severity of adverse effects, therapeutic efficacy, hypokalemic activities"
imiquimod,342,3,"metabolism, serum concentration, cardiotoxic activities"
glipizide,340,1,"hypoglycemic activities, metabolism, therapeutic efficacy"
drospirenone,340,1,"hyperkalemic activities, risk or severity of adverse effects, therapeutic efficacy"
levonorgestrel,338,2,"therapeutic efficacy, serum concentration, metabolism"
bexarotene,336,2,"metabolism, serum concentration, risk or severity of adverse effects"
finasteride,336,4,"metabolism, serum concentration"
pilocarpine,326,2,"risk or severity of adverse effects, metabolism, serum concentration"
cefixime,323,17,"nephrotoxic activities, anticoagulant activities, therapeutic efficacy"
cefpodoxime,322,7,"serum concentration, absorption, nephrotoxic activities"
lapatinib,316,1,"metabolism, serum concentration, QTc-prolonging activities"
abemaciclib,309,3,"serum concentration, metabolism, risk or severity of adverse effects"
mepivacaine,307,1,"risk or severity of adverse effects, serum concentration, central nervous system depressant (CNS depressant) activities"
indacaterol,306,1,"hypokalemic activities, QTc-prolonging activities, metabolism"
frovatriptan,306,2,"risk or severity of adverse effects, metabolism, serum concentration"
doxylamine,303,1,"central nervous system depressant (CNS depressant) activities, anticholinergic activities, sedative activities"
cyproheptadine,303,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, therapeutic efficacy"
nintedanib,300,2,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
agomelatine,298,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, serum concentration"
sultamicillin,297,11,"serum concentration, therapeutic efficacy, anticoagulant activities"
pyridostigmine,292,2,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
lorazepam,291,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, therapeutic efficacy"
formoterol,291,1,"metabolism, QTc-prolonging activities, vasoconstricting activities"
busulfan,288,2,"serum concentration, metabolism, risk or severity of adverse effects"
fludrocortisone,284,1,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
vigabatrin,283,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, therapeutic efficacy"
sodium oxybate,281,1,"central nervous system depressant (CNS depressant) activities, risk or severity of adverse effects, sedative activities"
lanreotide,279,3,"bradycardic activities, therapeutic efficacy, hypoglycemic activities"
pramocaine,279,1,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
epinastine,278,1,"metabolism, serum concentration, vasoconstricting activities"
eletriptan,277,1,"metabolism, risk or severity of adverse effects, serum concentration"
topotecan,277,1,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
tirofiban,276,4,"anticoagulant activities, risk or severity of adverse effects, antiplatelet activities"
biperiden,276,2,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
dorzolamide,274,1,"hypotensive activities, metabolism, serum concentration"
phenylephrine,270,2,"vasoconstricting activities, risk or severity of adverse effects, hypertensive activities"
loperamide,266,1,"metabolism, therapeutic efficacy, serum concentration"
tetryzoline,264,2,"vasoconstricting activities, risk or severity of adverse effects, hypertensive activities"
vismodegib,260,2,"metabolism, serum concentration, cardiotoxic activities"
ursodeoxycholic acid,253,11,"therapeutic efficacy, absorption, excretion rate of higher serum level"
dutasteride,252,3,"serum concentration, metabolism"
diflorasone,251,1,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
alendronic acid,250,2,"risk or severity of adverse effects, serum concentration, hypocalcemic activities"
temozolomide,242,11,"risk or severity of adverse effects, cardiotoxic activities, serum concentration"
magnesium hydroxide,238,1,"absorption, serum concentration, bioavailability"
tropicamide,238,2,"risk or severity of adverse effects, therapeutic efficacy, serum concentration"
chloramphenicol,238,1,"metabolism, serum concentration, risk or severity of adverse effects"
nystatin,234,3,"therapeutic efficacy, serum concentration, risk or severity of rhabdomyolysis"
orlistat,225,3,"serum concentration, anticoagulant activities, absorption"
desogestrel,222,2,"therapeutic efficacy, serum concentration, anticoagulant activities"
exemestane,222,2,"metabolism, serum concentration, therapeutic efficacy"
sertaconazole,213,3,"therapeutic efficacy, serum concentration, metabolism"
isotretinoin,210,6,"therapeutic efficacy, risk or severity of adverse effects, hepatotoxic activities"
chenodeoxycholic acid,210,2,"metabolism, serum concentration, therapeutic efficacy"
cefazolin,209,19,"anticoagulant activities, protein binding, serum concentration"
cytarabine,208,2,"metabolism, serum concentration, risk or severity of adverse effects"
nitrofural,207,3,"metabolism, serum concentration"
spiramycin,206,2,"metabolism, serum concentration, risk or severity of rhabdomyolysis"
rilmenidine,206,1,"hypotensive activities, vasoconstricting activities, antihypertensive activities"
econazole,202,2,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
temsirolimus,200,1,"risk or severity of adverse effects, serum concentration, metabolism"
anastrozole,200,4,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
miconazole,199,1,"serum concentration, metabolism, therapeutic efficacy"
gefitinib,198,1,"serum concentration, metabolism, anticoagulant activities"
vinblastine,194,1,"metabolism, serum concentration, risk or severity of adverse effects"
clofarabine,194,1,"risk or severity of adverse effects, hypotensive activities, cardiotoxic activities"
trabectedin,190,1,"metabolism, serum concentration, myopathic rhabdomyolysis activities"
sucralfate,188,2,"absorption, serum concentration, anticoagulant activities"
streptomycin,186,1,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
gemcitabine,182,7,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
oxytetracycline,182,2,"therapeutic efficacy, absorption, neuromuscular blocking activities"
methoxsalen,180,2,"metabolism, serum concentration, photosensitizing activities"
tianeptine,180,1,"risk or severity of adverse effects, serum concentration, antihypertensive activities"
baricitinib,178,2,"metabolism, serum concentration"
thiotepa,177,1,"metabolism, serum concentration, risk or severity of adverse effects"
carbetocin,176,1,"risk or severity of adverse effects, hypotensive activities, orthostatic hypotensive activities"
safinamide,176,2,"metabolism, serum concentration, serotonergic activities"
maraviroc,176,2,"serum concentration, metabolism"
armodafinil,170,1,"metabolism, serum concentration"
hydrotalcite,170,1,"absorption, bioavailability, serum concentration"
etonogestrel,169,1,"therapeutic efficacy, serum concentration, metabolism"
regorafenib,166,1,"serum concentration, metabolism, bradycardic activities"
varenicline,166,2,"risk or severity of adverse effects, serum concentration"
daunorubicin,161,1,"metabolism, serum concentration, risk or severity of adverse effects"
ketotifen,156,13,"sedative activities, diagnostic agent, therapeutic efficacy"
rizatriptan,154,1,"risk or severity of adverse effects, metabolism, serum concentration"
terlipressin,154,1,"hypotensive activities, antihypertensive activities, QTc-prolonging activities"
lanthanum carbonate,153,3,serum concentration
bendamustine,152,4,"metabolism, serum concentration, cardiotoxic activities"
sevelamer,144,6,"absorption, serum concentration"
milrinone,140,2,"anticoagulant activities, antiplatelet activities, risk or severity of adverse effects"
amorolfine,140,2,"therapeutic efficacy, serum concentration, metabolism"
anidulafungin,138,2,"therapeutic efficacy, serum concentration, metabolism"
tolnaftate,138,2,"therapeutic efficacy, serum concentration, metabolism"
sodium chloride,135,135,risk or severity of adverse effects
tranexamic acid,135,5,thrombogenic activities
ribociclib,133,1,"serum concentration, risk or severity of QTc prolongation, cardiotoxic activities"
cefotaxime,133,7,"nephrotoxic activities, anticoagulant activities, therapeutic efficacy"
sugammadex,129,3,"anticoagulant activities, serum concentration, therapeutic efficacy"
disulfiram,125,1,"metabolism, serum concentration, risk or severity of convulsion"
trospium,124,1,"risk or severity of adverse effects, therapeutic efficacy, serum concentration"
estramustine,120,1,"metabolism, serum concentration, absorption"
pemetrexed,119,7,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
cyclopentolate,119,1,"risk or severity of adverse effects, therapeutic efficacy, serum concentration"
methenamine,117,3,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
oxymetholone,117,1,"fluid retaining activities, hypoglycemic activities, serum concentration"
mebendazole,115,1,"metabolism, serum concentration, cardiotoxic activities"
ezetimibe,114,3,"serum concentration, risk or severity of adverse effects"
ephedrine,113,1,"vasoconstricting activities, risk or severity of adverse effects, arrhythmogenic activities"
dinoprostone,110,1,"therapeutic efficacy, metabolism, serum concentration"
triptorelin,109,1,"QTc-prolonging activities, therapeutic efficacy, cardiotoxic activities"
miglustat,107,1,"therapeutic efficacy, hypoglycemic activities, risk or severity of heart failure"
pheniramine,104,8,"sedative activities, therapeutic efficacy, diagnostic agent"
brinzolamide,103,1,"serum concentration, metabolism, risk or severity of adverse effects"
reboxetine,103,1,"metabolism, serum concentration, serum concentration of active metabolites"
pyrantel,102,2,"neuromuscular blocking activities, respiratory depressant activities, arrhythmogenic activities"
cladribine,100,4,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
pyrazinamide,100,1,"metabolism, serum concentration, hepatotoxic activities"
mifamurtide,100,1,therapeutic efficacy
misoprostol,100,1,"therapeutic efficacy, risk or severity of adverse effects"
tazarotene,99,3,"metabolism, serum concentration"
ampicillin,99,3,"serum concentration, therapeutic efficacy, anticoagulant activities"
acetazolamide,98,1,"risk or severity of adverse effects, serum concentration, excretion rate of higher serum level"
flucloxacillin,96,3,"serum concentration, therapeutic efficacy, anticoagulant activities"
vinflunine,96,1,"metabolism, serum concentration, risk or severity of adverse effects"
bifonazole,96,1,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
sonidegib,93,1,"serum concentration, cardiotoxic activities, risk or severity of adverse effects"
fulvestrant,93,1,"metabolism, serum concentration, cardiotoxic activities"
dacarbazine,92,2,"metabolism, serum concentration, risk or severity of adverse effects"
azathioprine,90,2,"risk or severity of anemia and severe leukopenia, anticoagulant activities, risk or severity of adverse effects"
deferiprone,87,3,"serum concentration, absorption"
calcipotriol,86,2,"risk or severity of adverse effects, risk or severity of hyperkalemia, cardiotoxic activities"
cobimetinib,85,1,"serum concentration, cardiotoxic activities, risk or severity of adverse effects"
hydroxychloroquine,84,1,"serum concentration, metabolism, risk or severity of QTc prolongation"
lynestrenol,83,1,"therapeutic efficacy, serum concentration, anticoagulant activities"
latanoprostene bunod,82,1,therapeutic efficacy
lamivudine,80,5,"serum concentration, risk or severity of adverse effects, excretion rate of higher serum level"
ceftazidime,80,4,"nephrotoxic activities, anticoagulant activities, therapeutic efficacy"
cefaclor,76,4,"nephrotoxic activities, anticoagulant activities, therapeutic efficacy"
mitoxantrone,74,1,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
semaglutide,72,8,hypoglycemic activities
epirubicin,72,4,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
cangrelor,69,1,"anticoagulant activities, risk or severity of adverse effects, antiplatelet activities"
hexetidine,69,1,"therapeutic efficacy, serum concentration, metabolism"
azacitidine,68,4,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
allopurinol,68,1,"risk of hypersensitivity reaction to, absorption, serum concentration"
niclosamide,67,1,"metabolism, serum concentration"
entecavir,63,21,"risk or severity of adverse effects, hepatotoxic activities"
lincomycin,63,3,"neuromuscular blocking activities, therapeutic efficacy, absorption"
oxcarbazepine,63,1,"serum concentration, risk or severity of hyponatremia, therapeutic efficacy"
benzylpenicillin,62,2,"serum concentration, therapeutic efficacy, anticoagulant activities"
atosiban,60,2,risk or severity of adverse effects
cefepime,57,3,"nephrotoxic activities, anticoagulant activities, serum concentration"
acitretin,54,2,"therapeutic efficacy, risk or severity of adverse effects, teratogenic activities"
carbachol,53,1,risk or severity of adverse effects
dolutegravir,50,1,serum concentration
abacavir,49,1,"serum concentration, risk or severity of adverse effects, therapeutic efficacy"
naltrexone,48,1,"therapeutic efficacy, serum concentration, risk or severity of adverse effects"
carmustine,45,1,"metabolism, risk or severity of adverse effects, serum concentration"
nitrofurantoin,45,3,"serum concentration, risk or severity of adverse effects, hyperkalemic activities"
ebastine,45,3,"sedative activities, serum concentration, diagnostic agent"
ceftibuten,38,2,"nephrotoxic activities, anticoagulant activities, serum concentration"
cefprozil,38,2,"nephrotoxic activities, anticoagulant activities, serum concentration"
mitomycin,38,1,"serum concentration, risk or severity of adverse effects, cardiotoxic activities"
valganciclovir,36,3,"risk or severity of adverse effects, serum concentration, risk or severity of generalized seizure"
riluzole,35,1,"metabolism, serum concentration, therapeutic efficacy"
propylthiouracil,34,2,"serum concentration, anticoagulant activities, risk or severity of adverse effects"
bleomycin,34,2,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
decitabine,33,3,"cardiotoxic activities, risk or severity of adverse effects, risk or severity of myelosuppression"
raltegravir,33,1,"serum concentration, myopathic rhabdomyolysis activities"
clomifene,33,1,"serum concentration, risk or severity of adverse effects"
mercaptopurine,33,1,"anticoagulant activities, risk or severity of adverse effects, cardiotoxic activities"
carbocisteine,32,2,risk or severity of adverse effects
piracetam,28,7,risk or severity of adverse effects
tolperisone,27,1,"metabolism, serum concentration, therapeutic efficacy"
alectinib,25,1,"serum concentration, cardiotoxic activities, risk or severity of adverse effects"
zinc sulfate,25,25,serum concentration
sapropterin,24,2,"hypotensive activities, serum concentration, risk or severity of adverse effects"
bilastine,24,2,"sedative activities, diagnostic agent, therapeutic efficacy"
ganciclovir,24,2,"risk or severity of adverse effects, serum concentration, risk or severity of generalized seizure"
emedastine,24,2,"sedative activities, diagnostic agent, therapeutic efficacy"
dimetindene,24,2,"sedative activities, diagnostic agent, therapeutic efficacy"
adenosine,24,3,"therapeutic efficacy, risk or severity of adverse effects, atrioventricular blocking (AV block) activities"
dydrogesterone,23,1,therapeutic efficacy
iohexol,22,22,risk or severity of adverse effects
valaciclovir,20,4,"serum concentration, excretion rate of higher serum level, central nervous system depressant (CNS depressant) activities"
melphalan,20,1,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
fludarabine,19,1,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
niraparib,18,2,"cardiotoxic activities, risk or severity of adverse effects"
meropenem,18,6,"serum concentration, therapeutic efficacy"
tigecycline,18,3,"therapeutic efficacy, serum concentration, absorption"
carfilzomib,17,1,"serum concentration, cardiotoxic activities, risk or severity of adverse effects"
chlorambucil,17,1,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
trametinib,15,1,"cardiotoxic activities, serum concentration, risk or severity of adverse effects"
mebeverine,15,3,"therapeutic efficacy, serum concentration"
thiocolchicoside,14,14,therapeutic efficacy
flumazenil,14,2,sedative activities
dimethyl fumarate,12,2,"immunosuppressive activities, risk or severity of adverse effects"
oseltamivir,12,12,serum concentration of active metabolites
febuxostat,12,2,"serum concentration of active metabolites, serum concentration"
silver sulfadiazine,12,4,risk or severity of adverse effects
mupirocin,11,11,therapeutic efficacy
besifloxacin,11,1,"cardiotoxic activities, risk or severity of adverse effects, therapeutic efficacy"
cyanocobalamin,10,5,"therapeutic efficacy, serum concentration"
azelaic acid,9,1,"cardiotoxic activities, risk or severity of adverse effects"
dirithromycin,9,1,"risk or severity of rhabdomyolysis, therapeutic efficacy"
daptomycin,9,1,"risk or severity of adverse effects, therapeutic efficacy"
sulfacetamide,8,2,"risk or severity of adverse effects, therapeutic efficacy"
pimavanserin,7,1,therapeutic efficacy
fosfomycin,7,7,therapeutic efficacy
trimetazidine,7,7,risk or severity of adverse effects
gadoteric acid,6,6,absorption of reduced serum concentration and potentially
lactulose,6,6,therapeutic efficacy
colistin,4,4,therapeutic efficacy
ertapenem,4,1,"serum concentration, therapeutic efficacy"
cycloserine,4,1,"risk or severity of adverse effects, neurotoxic activities, therapeutic efficacy"
ferrous sulfate,4,4,absorption of reduced serum concentration and potentially
iopromide,4,4,risk or severity of adverse effects
trimethobenzamide,4,4,central nervous system depressant (CNS depressant) activities
gadoxetic acid,3,1,serum concentration
iopamidol,3,3,risk or severity of adverse effects
deferoxamine,3,1,"risk or severity of adverse effects, absorption"
glycine,3,3,risk or severity of adverse effects
cidofovir,2,1,"excretion rate of higher serum level, serum concentration"
benzoyl peroxide,2,2,risk or severity of adverse effects
nalmefene,2,1,risk or severity of adverse effects
ethambutol,2,1,"absorption, therapeutic efficacy"
sulbactam,1,1,therapeutic efficacy
gonadorelin,1,1,therapeutic efficacy
